url,domain,page_title,source_pattern,recommended_variant,functional_intuitiveness_1_5,minimalism_1_5,mobile_1_5,reduced_motion_1_5,cms_change_resilience_1_5,total_25,evidence_excerpt,decision_rationale,implementation_note,source_access_limitation
https://www.figma.com/blog/introducing-figma-sites/,figma.com,Publish Your Designs On The Web With Figma Sites | Figma Blog,큐레이션·시각 위계,center-only,5,5,5,5,5,25,"메타: Today, we’re launching Figma Sites, an all-in-one tool for you to design and build custom, responsive websites. / 관찰 소제목: Featured Topics | News | Design systems | Explore topics",한 항목에만 시선을 집중시켜 가장 미니멀하고 직관적이며 긴 CMS 문구나 다양한 포스터 비율에도 안전함.,단일 템플릿과 01/02/03 인디케이터만 유지. 전환 시 텍스트·날짜·장소도 같은 상태로 교체.,
https://www.figma.com/community/file/1337383844852052585/parallax-scrolling-example,figma.com,Parallax-Scrolling-Example | Figma,모션·상호작용,hidden-offstage,4,5,5,5,5,24,메타: Simple prototype showing parallax animation,활성 템플릿만 보이고 나머지는 프레임 밖에서 대기해 구조가 가장 안정적이며 모바일·CMS·reduced-motion 대응이 쉬움.,이전/다음은 opacity 0과 x 이동으로 대기. DOM/CMS 데이터는 유지하고 시각 상태만 전환.,Figma Community robots/로그인 정책으로 상세 캔버스 직접 분석 제한; 공개 메타/공식 설명만 사용
https://www.figma.com/community/file/1524448265587210925/figmastica-free-1-0,figma.com,Figmastica FREE 1.0 | Figma,큐레이션·시각 위계,center-only,5,5,5,5,5,25,메타: 👉 30+ Variants of Components 👉 3800+ All components 👉 20+ Sections & blocks 👉 30+ Text styles 👉 60+ Variables 👉 50+ Design tokens 👉 Autolayout 4.0+Variants Available for everyone!,한 항목에만 시선을 집중시켜 가장 미니멀하고 직관적이며 긴 CMS 문구나 다양한 포스터 비율에도 안전함.,단일 템플릿과 01/02/03 인디케이터만 유지. 전환 시 텍스트·날짜·장소도 같은 상태로 교체.,Figma Community robots/로그인 정책으로 상세 캔버스 직접 분석 제한; 공개 메타/공식 설명만 사용
https://www.figma.com/prototyping/,figma.com,Free Prototyping Tool: Build Interactive Prototype Designs | Figma,큐레이션·시각 위계,center-only,5,5,5,5,5,25,메타: Use our free online prototyping tool to build realistic experiences in one live file to ensure your designs are always up to date. / 관찰 소제목: What you can do in figma | Explore all products | Additional product resources | Use cases,한 항목에만 시선을 집중시켜 가장 미니멀하고 직관적이며 긴 CMS 문구나 다양한 포스터 비율에도 안전함.,단일 템플릿과 01/02/03 인디케이터만 유지. 전환 시 텍스트·날짜·장소도 같은 상태로 교체.,
https://www.figma.com/resource-library/ai-website-examples/,figma.com,"29 AI Website Examples for SaaS, E-commerce, + More | Figma",큐레이션·시각 위계,center-only,5,5,5,5,5,25,"메타: Explore 29 AI website examples across industries like SaaS, tech, and retail. See how AI handles complex hierarchy and use these files to start your Web design. / 관찰 소제목: What you can do in figma | Explore all products | Additional product resources | Use cases",한 항목에만 시선을 집중시켜 가장 미니멀하고 직관적이며 긴 CMS 문구나 다양한 포스터 비율에도 안전함.,단일 템플릿과 01/02/03 인디케이터만 유지. 전환 시 텍스트·날짜·장소도 같은 상태로 교체.,
https://muz.li/blog/weekly-designers-update-433/,muz.li,Weekly Designers Update #433 | Muzli Blog,큐레이션·시각 위계,excluded,2,2,2,2,2,10,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #433 | Web design inspiration | How do we burn up forests, villages and people with our own hands | Convex Seascape Survey",공연 템플릿의 선택·비교보다 장식 모션 또는 다른 제품 목적이 앞서 이번 캐러셀의 직접 근거로 채택하지 않음.,직접 구현 근거에서는 제외하고 표면 스타일 또는 실패 방지 사례로만 보존.,
https://muz.li/blog/weekly-designers-update-434/,muz.li,Weekly Designers Update #434 | Muzli Blog,큐레이션·시각 위계,excluded,2,2,2,2,2,10,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #434 | Web design inspiration | All Around Us* Environment Explorer Collection AW 2023 | Buttermax",공연 템플릿의 선택·비교보다 장식 모션 또는 다른 제품 목적이 앞서 이번 캐러셀의 직접 근거로 채택하지 않음.,직접 구현 근거에서는 제외하고 표면 스타일 또는 실패 방지 사례로만 보존.,
https://muz.li/blog/weekly-designers-update-435/,muz.li,Weekly Designers Update #435 | Muzli Blog,큐레이션·시각 위계,excluded,2,2,2,2,2,10,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #435 | Web design inspiration | Eurecah | Creative Agency | Evan Fasquelle — Digital Designer",공연 템플릿의 선택·비교보다 장식 모션 또는 다른 제품 목적이 앞서 이번 캐러셀의 직접 근거로 채택하지 않음.,직접 구현 근거에서는 제외하고 표면 스타일 또는 실패 방지 사례로만 보존.,
https://muz.li/blog/weekly-designers-update-436/,muz.li,Weekly Designers Update #436 | Muzli Blog,큐레이션·시각 위계,excluded,2,2,2,2,2,10,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #436 | Web design inspiration | Sala X | Bonhomme | 10 Ans",공연 템플릿의 선택·비교보다 장식 모션 또는 다른 제품 목적이 앞서 이번 캐러셀의 직접 근거로 채택하지 않음.,직접 구현 근거에서는 제외하고 표면 스타일 또는 실패 방지 사례로만 보존.,
https://muz.li/blog/weekly-designers-update-437/,muz.li,Weekly Designers Update #437 | Muzli Blog,큐레이션·시각 위계,excluded,2,2,2,2,2,10,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #437 | Web design inspiration | Nokia 3310 Eng | Concept Capers",공연 템플릿의 선택·비교보다 장식 모션 또는 다른 제품 목적이 앞서 이번 캐러셀의 직접 근거로 채택하지 않음.,직접 구현 근거에서는 제외하고 표면 스타일 또는 실패 방지 사례로만 보존.,
https://muz.li/blog/weekly-designers-update-438/,muz.li,Weekly Designers Update #438 | Muzli Blog,큐레이션·시각 위계,excluded,2,2,2,2,2,10,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #438 | Web design inspiration | Active Theory · Creative Digital Experiences | Loket Design",공연 템플릿의 선택·비교보다 장식 모션 또는 다른 제품 목적이 앞서 이번 캐러셀의 직접 근거로 채택하지 않음.,직접 구현 근거에서는 제외하고 표면 스타일 또는 실패 방지 사례로만 보존.,
