evidence_id,source,domain,url,title,observed_evidence,classified_model,functional_clarity_1_5,minimalism_1_5,mobile_1_5,reduced_motion_1_5,cms_resilience_1_5,motion_cost_1_5,smyc_fit_1_5,verdict,evidence_confidence,decision_rationale,access_limitation,cohort
1,Autodesk,help.autodesk.com,https://help.autodesk.com/cloudhelp/2025/ENU/Revit-HaveYouTried/files/GUID-4C06C282-C106-4285-B677-1C5D3481717E.htm,Depth cueing,거리가 멀수록 선·톤의 강도를 낮추는 깊이 단서가 사용된다.,partial-visible,4,4,4,3,5,1,4,본문 원칙을 직접 재확인한 보충 근거,4/5,좌우 비활성 템플릿과 포켓 후면의 대비를 중앙보다 낮춰 원근감을 주는 근거.,기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
2,Awwwards,awwwards.com,https://www.awwwards.com/sites/20-years-inspired-by-people,20 Years Inspired by People - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,partial-visible,4,4,4,3,5,1,4,배제,4/5,"마스크, 개구부, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
3,Awwwards,awwwards.com,https://www.awwwards.com/sites/ai-in-design-report-2026,Ai in Design Report 2026 - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion, editorial",hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"전환, motion, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
4,Awwwards,awwwards.com,https://www.awwwards.com/sites/alethia,Alethia - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interaction,hidden-offstage,3,4,2,3,3,3,4,채택,5/5,"전환, 모션, interaction",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
5,Awwwards,awwwards.com,https://www.awwwards.com/sites/artem-shcherbakov,Artem Shcherbakov - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: webgl, transition, interactive, portfolio, typography",hidden-offstage,3,4,2,3,3,4,4,채택,5/5,"transition, 전환, 모션",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
6,Awwwards,awwwards.com,https://www.awwwards.com/sites/bla-station,Blå Station - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: editorial, performance",center-only,5,5,4,5,5,1,5,보조 채택,5/5,"미니멀, editorial, 여백, 접근성",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
7,Awwwards,awwwards.com,https://www.awwwards.com/sites/ciao-energy-launch-website,CIAO ENERGY - LAUNCH WEBSITE - Awwwards SOTD,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, three.js, immersive, interactive",layered-stack,3,2,2,3,3,4,2,채택,5/5,"3d, immersive",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
8,Awwwards,awwwards.com,https://www.awwwards.com/sites/crxtianhub-portfolio,CRXTIANHUB — PORTFOLIO - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: portfolio,center-only,5,5,4,5,5,1,5,보조 채택,5/5,"미니멀, 여백",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
9,Awwwards,awwwards.com,https://www.awwwards.com/sites/cobloc,Cobloc - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture,partial-visible,4,4,4,3,5,1,4,채택,5/5,"가림, 개구부, architect, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
10,Awwwards,awwwards.com,https://www.awwwards.com/sites/ducati-superleggera-v4,Ducati Superleggera V4 - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,partial-visible,4,4,4,3,5,2,4,채택,5/5,"가림, 개구부, 건축, 깊이, 레이어",기존 679행 검증 원장의 관찰 메모를 이번 질문에 맞게 재분류,reference-reclassification
