url,domain,http_status,page_title,page_description_or_headings,observed_pattern,adopt_or_exclude_reason,access_limitation
https://www.figma.com/blog/introducing-figma-sites/,figma.com,200,Publish Your Designs On The Web With Figma Sites | Figma Blog,"메타: Today, we’re launching Figma Sites, an all-in-one tool for you to design and build custom, responsive websites. / 관찰 소제목: Featured Topics | News | Design systems | Explore topics",큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,
https://www.figma.com/community/file/1337383844852052585/parallax-scrolling-example,figma.com,200,Parallax-Scrolling-Example | Figma,메타: Simple prototype showing parallax animation,모션·상호작용,채택: 위치·스케일·불투명도 중심의 짧은 상태 전환. 배제: 정보 이해를 지연시키는 장식 모션.,Figma Community robots/로그인 정책으로 상세 캔버스 직접 분석 제한; 공개 메타/공식 설명만 사용
https://www.figma.com/community/file/1524448265587210925/figmastica-free-1-0,figma.com,200,Figmastica FREE 1.0 | Figma,메타: 👉 30+ Variants of Components 👉 3800+ All components 👉 20+ Sections & blocks 👉 30+ Text styles 👉 60+ Variables 👉 50+ Design tokens 👉 Autolayout 4.0+Variants Available for everyone! ,큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,Figma Community robots/로그인 정책으로 상세 캔버스 직접 분석 제한; 공개 메타/공식 설명만 사용
https://www.figma.com/prototyping/,figma.com,200,Free Prototyping Tool: Build Interactive Prototype Designs | Figma,메타: Use our free online prototyping tool to build realistic experiences in one live file to ensure your designs are always up to date. / 관찰 소제목: What you can do in figma | Explore all products | Additional product resources | Use cases,큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,
https://www.figma.com/resource-library/ai-website-examples/,figma.com,200,"29 AI Website Examples for SaaS, E-commerce, + More | Figma","메타: Explore 29 AI website examples across industries like SaaS, tech, and retail. See how AI handles complex hierarchy and use these files to start your Web design. / 관찰 소제목: What you can do in figma | Explore all products | Additional product resources | Use cases",큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,
https://muz.li/blog/weekly-designers-update-430/,muz.li,404,weekly-designers-update-430,메타: 설명 없음,큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,"HTTP 404; 검색/공식 보조 페이지로 존재 확인, 본문 직접 관찰 제한"
https://muz.li/blog/weekly-designers-update-431/,muz.li,404,weekly-designers-update-431,메타: 설명 없음,큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,"HTTP 404; 검색/공식 보조 페이지로 존재 확인, 본문 직접 관찰 제한"
https://muz.li/blog/weekly-designers-update-432/,muz.li,404,weekly-designers-update-432,메타: 설명 없음,큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,"HTTP 404; 검색/공식 보조 페이지로 존재 확인, 본문 직접 관찰 제한"
https://muz.li/blog/weekly-designers-update-433/,muz.li,200,Weekly Designers Update #433 | Muzli Blog,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #433 | Web design inspiration | How do we burn up forests, villages and people with our own hands | Convex Seascape Survey",큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,
https://muz.li/blog/weekly-designers-update-434/,muz.li,200,Weekly Designers Update #434 | Muzli Blog,"메타: Web design inspiration, weekly recap / 관찰 소제목: Weekly Designers Update #434 | Web design inspiration | All Around Us* Environment Explorer Collection AW 2023 | Buttermax",큐레이션·시각 위계,채택: 대표 사례의 정보 밀도와 초점 배치를 비교. 배제: 공연 템플릿과 무관한 표면 스타일 복제.,
