id,source,domain,url,title,observable_pattern,evidence,decision,reason,verification
1,Awwwards,awwwards.com,https://www.awwwards.com/sites/hearst-exhibit-2026,Hearst Exhibit 2026 - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
2,Awwwards,awwwards.com,https://www.awwwards.com/sites/noomo-showcase,Noomo Showcase - Awwwards SOTD,공유 원근·깊이,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
3,Awwwards,awwwards.com,https://www.awwwards.com/sites/2xa-studio,2xA Studio - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
4,Awwwards,awwwards.com,https://www.awwwards.com/sites/ciao-energy-launch-website,CIAO ENERGY - LAUNCH WEBSITE - Awwwards SOTD,공유 원근·깊이 | 모션·전환,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, three.js, immersive, interactive",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
5,Awwwards,awwwards.com,https://www.awwwards.com/sites/made-with-gsap-1,Made With Gsap - Awwwards SOTD,모션·전환,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: gsap,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
6,Awwwards,awwwards.com,https://www.awwwards.com/sites/obys-r-experiment-space,Obys® Experiment Space - Awwwards SOTD,모션·전환,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interactive,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
7,Awwwards,awwwards.com,https://www.awwwards.com/sites/trionn-2,TRIONN - Awwwards SOTD,공유 원근·깊이 | 모션·전환,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: three.js, motion, gsap",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
8,Awwwards,awwwards.com,https://www.awwwards.com/sites/partizan,Partizan - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
9,Awwwards,awwwards.com,https://www.awwwards.com/sites/artem-shcherbakov,Artem Shcherbakov - Awwwards SOTD,공유 원근·깊이 | 모션·전환 | 미니멀·편집,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: webgl, transition, interactive, portfolio, typography",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
10,Awwwards,awwwards.com,https://www.awwwards.com/sites/spotify-wrapped-party,Spotify Wrapped Party - Awwwards SOTD,레이어·마스크,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: layer,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
11,Awwwards,awwwards.com,https://www.awwwards.com/sites/normal-is-boring,NORMAL IS BORING - Awwwards SOTD,모션·전환,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion,채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
12,Awwwards,awwwards.com,https://www.awwwards.com/sites/dragonfly-redux,Dragonfly Redux - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
13,Awwwards,awwwards.com,https://www.awwwards.com/sites/lacoste-polo-factory,Lacoste — Polo Factory - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
14,Awwwards,awwwards.com,https://www.awwwards.com/sites/lama-lama-2,Lama Lama - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
15,Awwwards,awwwards.com,https://www.awwwards.com/sites/glitch-grit,Glitch&Grit - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
16,Awwwards,awwwards.com,https://www.awwwards.com/sites/izanami,IZANAMI - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
17,Awwwards,awwwards.com,https://www.awwwards.com/sites/hiroto-sato,Hiroto Sato - Awwwards SOTD,공유 원근·깊이 | 모션·전환 | 미니멀·편집,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, motion, interactive, portfolio",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
18,Awwwards,awwwards.com,https://www.awwwards.com/sites/coffeetech-r,CoffeeTech® - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
19,Awwwards,awwwards.com,https://www.awwwards.com/sites/risk,RISK - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
20,Awwwards,awwwards.com,https://www.awwwards.com/sites/house-of-honey-1,House of Honey - Awwwards SOTD,미니멀·편집,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: editorial,보조 채택,깊이 구조의 직접 근거는 약하지만 여백·타이포·정보 위계 참고에 사용,개별 사례 페이지 본문 수신 성공
21,Awwwards,awwwards.com,https://www.awwwards.com/sites/pp-neue-montreal,PP Neue Montreal - Awwwards SOTD,직접 관련 패턴 미확인,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음,배제,공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족,개별 사례 페이지 본문 수신 성공
22,Awwwards,awwwards.com,https://www.awwwards.com/sites/longbow,Longbow - Awwwards SOTD,모션·전환 | 미니멀·편집,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: animation, typography, clean",채택,"건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능",개별 사례 페이지 본문 수신 성공
