"evidence_id","source_file","source","domain","url","title","published_or_status","observable_evidence","pattern","adopt_or_reject","rationale","access_or_verification","duplicate_records_merged"
"1","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/20-years-inspired-by-people","20 Years Inspired by People - Awwwards Honorable Mention","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음","직접 관련 패턴 미확인","배제","공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족","개별 사례 페이지 본문 수신 성공","1"
"2","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/21-hrs-on-the-moon","21 Hrs On The Moon - Awwwards SOTD","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음","직접 관련 패턴 미확인","배제","공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족","개별 사례 페이지 본문 수신 성공","1"
"3","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/2xa-studio","2xA Studio - Awwwards SOTD","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음","직접 관련 패턴 미확인","배제","공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족","개별 사례 페이지 본문 수신 성공","1"
"4","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/ai-in-design-report-2026","Ai in Design Report 2026 - Awwwards Honorable Mention","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: motion, editorial","모션·전환 | 미니멀·편집","채택","건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능","개별 사례 페이지 본문 수신 성공","1"
"5","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/alethia","Alethia - Awwwards Honorable Mention","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interaction","모션·전환","채택","건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능","개별 사례 페이지 본문 수신 성공","1"
"6","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/apini-studio","àpini studio - Awwwards Honorable Mention","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: clean","미니멀·편집","보조 채택","깊이 구조의 직접 근거는 약하지만 여백·타이포·정보 위계 참고에 사용","개별 사례 페이지 본문 수신 성공","1"
"7","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/apoha","Apoha - Awwwards Honorable Mention","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음","직접 관련 패턴 미확인","배제","공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족","개별 사례 페이지 본문 수신 성공","1"
"8","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/artem-shcherbakov","Artem Shcherbakov - Awwwards SOTD","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: webgl, transition, interactive, portfolio, typography","공유 원근·깊이 | 모션·전환 | 미니멀·편집","채택","건축 개구부의 깊이, 전후 레이어 가림, 3개 템플릿 순환 또는 상태 전환 설계에 직접 적용 가능","개별 사례 페이지 본문 수신 성공","1"
"9","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/bla-station","Blå Station - Awwwards Honorable Mention","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: editorial, performance","미니멀·편집 | 성능·접근성","보조 채택","깊이 구조의 직접 근거는 약하지만 여백·타이포·정보 위계 참고에 사용","개별 사례 페이지 본문 수신 성공","1"
"10","sources-a.csv","Awwwards","awwwards.com","https://www.awwwards.com/sites/brunello-cucinelli-ai-e-com","Brunello Cucinelli - AI E-com - Awwwards SOTD","개별 사례 페이지 본문 수신 성공","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음","직접 관련 패턴 미확인","배제","공개 페이지에서 개구부·레이어·캐러셀·마스크와 직접 연결되는 관찰 근거가 부족","개별 사례 페이지 본문 수신 성공","1"
