analysis_id,original_evidence_id,evidence_origin,option_code,option_name,source,domain,url,title,observed_evidence,source_pattern,relation_basis,evidence_strength_1_5,smyc_minimalism_fit_1_10,cognitive_clarity_1_10,motion_risk_1_10,recommendation_role,classification_note
1,678,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/css_reference/perspective/,perspective | Codrops,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, layer, mask, clip, window, loop, animation, motion, transition, scroll, portfolio, grid, performance",공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환 | 미니멀·편집 | 성능·접근성,"mask, 마스크, 가림, 개구부, 건축, depth, 깊이, perspective, layer, 레이어",5,10,9,3,primary support,채택
2,679,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/css_reference/transform/,transform | Codrops,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, mask, clip, window, horizontal, animation, transition, scroll, interaction, portfolio, grid, performance",공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환 | 미니멀·편집 | 성능·접근성,"mask, 마스크, 가림, 개구부, 건축, depth, 깊이, perspective, 레이어",5,10,9,3,primary support,채택
3,297,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2013/02/27/image-techniques-for-creating-depth-in-web-design/,Image Techniques for Creating Depth in Web Design | Codrops,"개별 페이지의 title·meta·공개 본문에서 확인된 키워드: perspective, depth, 3d, webgl, layer, clip, window, animation, motion, transition, scroll, portfolio, grid, performance",공유 원근·깊이 | 레이어·마스크 | 모션·전환 | 미니멀·편집 | 성능·접근성,"마스크, 가림, 개구부, 건축, depth, 깊이, perspective, layer, 레이어",5,10,9,3,primary support,채택
4,526,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2025/10/29/building-a-layered-zoom-scroll-effect-with-gsap-scrollsmoother-and-scrolltrigger/,Building a Layered Zoom Scroll Effect with GSAP ScrollSmoother and ScrollTrigger,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: depth, layer, layered, animation, scroll, gsap",공유 원근·깊이 | 레이어·마스크 | 모션·전환,"마스크, 가림, 개구부, 건축, depth, 깊이, layer, 레이어",5,9,8,2,primary support,채택
5,640,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2026/05/28/the-never-ending-story-building-a-seamless-infinite-scroll-experience-with-gsap-lenis/,The Never Ending Story: Building a Seamless Infinite Scroll Experience with GSAP & Lenis,"Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: depth, layer, layered, infinite, scroll, gsap, parallax",공유 원근·깊이 | 레이어·마스크 | 캐러셀·순환 | 모션·전환,"마스크, 가림, 개구부, 건축, depth, 깊이, layer, 레이어",5,9,8,3,primary support,채택
6,667,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Codrops,tympanus.net,https://tympanus.net/codrops/2026/07/15/the-architecture-behind-trionn-coordinating-gsap-three-js-lenis-and-web-audio/,"The Architecture Behind Trionn: Coordinating GSAP, Three.js, Lenis, and Web Audio","Codrops 공식 WordPress API 제목·초록에서 확인된 키워드: three.js, architecture, layer, animation, interaction, gsap",공유 원근·깊이 | 레이어·마스크 | 모션·전환,"마스크, 가림, 개구부, architect, 건축, 깊이, layer, 레이어",5,9,8,2,primary support,채택
7,60,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/spotify-wrapped-party,Spotify Wrapped Party - Awwwards SOTD,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: layer,레이어·마스크,"마스크, 가림, 개구부, 건축, 깊이, layer, 레이어",5,9,8,2,primary support,채택
8,14,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/cobloc,Cobloc - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture,공유 원근·깊이,"가림, 개구부, architect, 건축, 깊이, 레이어",5,9,8,2,primary support,채택
9,35,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/kononenko-architectural-bureau,Kononenko Architectural Bureau - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architectural, minimal, typography",공유 원근·깊이 | 미니멀·편집,"가림, 개구부, architect, 건축, 깊이, 레이어",5,10,8,2,primary support,채택
10,44,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/mr-day,Mr Day - Awwwards Honorable Mention,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture, animation",공유 원근·깊이 | 모션·전환,"가림, 개구부, architect, 건축, 깊이, 레이어",5,9,8,2,primary support,채택
11,53,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/pelizzari-studio-2,Pelizzari Studio - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: architecture,공유 원근·깊이,"가림, 개구부, architect, 건축, 깊이, 레이어",5,9,8,2,primary support,채택
12,217,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/alterg-resources,AlterG Resources — One Page Website Award,"메타: Lovely logomark integration (using a masked blur effect) in the hero of this landing page (built with Webflow) for AlterG Resources. / 관찰 소제목: AlterG Resources | Similar One Page Websites | Framer - Build better sites, faster | Architecture of Socialist-Era Belgrade",건축 프레이밍·전시,"mask, 가림, 개구부, architect, 건축",5,9,8,2,primary support,검토
13,22,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,Awwwards,awwwards.com,https://www.awwwards.com/sites/ducati-superleggera-v4,Ducati Superleggera V4 - Awwwards Honorable Mention,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive,공유 원근·깊이,"가림, 개구부, 건축, 깊이, 레이어",5,9,8,3,primary support,채택
14,222,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/belgrade-architecture,Architecture of Socialist-Era Belgrade — One Page Website Award,"메타: Storytelling One Pager (built with Webflow) paying homage to the Architecture of Socialist-Era Belgrade. / 관찰 소제목: Architecture of Socialist-Era Belgrade | Similar One Page Websites | Framer - Build better sites, faster | Neuropelvic Surgery",건축 프레이밍·전시,"가림, 개구부, architect, 건축",5,9,8,2,primary support,검토
15,255,679-row verified ledger reclassification,A,건축 포켓에 일부 노출,onepagelove.com,onepagelove.com,https://onepagelove.com/neuropelvic-surgery,Neuropelvic Surgery — One Page Website Award,"메타: Informational One Pager about Neuropelvic Surgery that provides pelvic health treatments and surgical solutions for women. / 관찰 소제목: Neuropelvic Surgery | Similar One Page Websites | Framer - Build better sites, faster | Architecture of Socialist-Era Belgrade",건축 프레이밍·전시,"가림, 개구부, architect, 건축",5,9,8,2,primary support,검토
