id,source,title,URL,observed_pattern,interaction,clarity,motion_cost,accessibility_risk,SMYC_fit,verdict,evidence_confidence,evidence_terms,evidence_basis
1,Awwwards,Hearst Exhibit 2026 - Awwwards SOTD,https://www.awwwards.com/sites/hearst-exhibit-2026,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
2,Awwwards,Noomo Showcase - Awwwards SOTD,https://www.awwwards.com/sites/noomo-showcase,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,immersive,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: immersive
3,Awwwards,2xA Studio - Awwwards SOTD,https://www.awwwards.com/sites/2xa-studio,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
4,Awwwards,CIAO ENERGY - LAUNCH WEBSITE - Awwwards SOTD,https://www.awwwards.com/sites/ciao-energy-launch-website,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,"3d, immersive","Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 3d, three.js, immersive, interactive"
5,Awwwards,Made With Gsap - Awwwards SOTD,https://www.awwwards.com/sites/made-with-gsap-1,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: gsap
6,Awwwards,Obys® Experiment Space - Awwwards SOTD,https://www.awwwards.com/sites/obys-r-experiment-space,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: interactive
7,Awwwards,TRIONN - Awwwards SOTD,https://www.awwwards.com/sites/trionn-2,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: three.js, motion, gsap"
8,Awwwards,Partizan - Awwwards SOTD,https://www.awwwards.com/sites/partizan,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: 관련 기술 키워드 없음
9,Awwwards,Artem Shcherbakov - Awwwards SOTD,https://www.awwwards.com/sites/artem-shcherbakov,other,공개 근거에서 비활성 캐러셀 항목의 노출 방식을 확정할 수 없음,1/5,판단 불가,판단 불가,1/5,배제,낮음,직접 단서 없음,"Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: webgl, transition, interactive, portfolio, typography"
10,Awwwards,Spotify Wrapped Party - Awwwards SOTD,https://www.awwwards.com/sites/spotify-wrapped-party,layered-stack,템플릿을 Z축·크기·그림자로 중첩하고 중앙 항목을 전면으로 승격,3/5,"높음 — 공유 원근, Z순서, 그림자, 전면 가리개를 함께 보간해야 함",높음 — 겹친 비활성 항목이 시각·키보드 순서를 혼란시킬 수 있음,4/5,조건부 채택,중간,layer,Awwwards 개별 사례 페이지의 title·meta description에서 확인된 키워드: layer
