"source","url","title","published","observed_evidence","pattern","adopt_or_reject"
"Codrops","https://tympanus.net/codrops/2009/09/07/42-jquery-image-gallery-plugins/","42+ jQuery Image Gallery Plugins","2009-09-07","A list of 42 jQuery image galleries, sliders, plugins and tutorials built using jQuery","캐러셀","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2010/07/26/music-portfolio-template/","Music Portfolio Template with HTML5 and jQuery","2010-07-26","Today we want to share a music portfolio template with you. The idea is to create an artist portfolio with a discography line up and HTML5 audio player jPlayer. The [&hellip;]","마스크·레이어 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2011/03/07/parallax-usage-in-web-design/","Showcase of Parallax Usage in Web Design","2011-03-07","The use of the parallax effect or parallax scrolling effect in websites can add a nice three dimensional depth illusion to the design and make the visit very interesting to [&hellip;]","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2011/08/16/circular-content-carousel/","Circular Content Carousel with jQuery","2011-08-16","Today we want to share a simple circular content carousel with you. The idea is to have some content boxes that we can slide infinitely (circular). When clicking on the &#8220;more&#8221; link, the respective item moves to the left and a content area will slide out. Now we can navigate through the carousel where each step will reveal the next or previous content box with its expanded content. Clicking on the closing cross will slide the expanded content area back in and animate the item to its original position.","마스크·레이어 / 캐러셀","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2011/09/12/elastislide-responsive-carousel/","Elastislide – A Responsive jQuery Carousel Plugin","2011-09-12","Elastislide is a responsive image carousel that will adapt fluidly in a layout. It is a jQuery plugin that can be laid out horizontally or vertically with a pre-defined minimum number of shown images.","캐러셀 / 건축·에디토리얼","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2011/09/20/responsive-image-gallery/","Responsive Image Gallery with Thumbnail Carousel","2011-09-20","A tutorial on how to create a responsive image gallery with a thumbnail carousel using Elastislide. Inspired by Twitter’s &#8220;user gallery&#8221; and upon a request to show an integration of Elastislide, we want to implement a responsive gallery that adapts to the view-port width. The gallery will have a view switch that allows to view it with the thumbnail carousel or without. We’ll also add the possibility to navigate with the keyboard.","캐러셀","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2012/01/05/examples-of-fresh-effects-in-web-design/","Examples of Fresh Effects in Web Design","2012-01-05","Having some fresh and maybe even unexpected effects on a website, can juice up the experience for the user. Be it a whole new and experimental way of navigating through the website or just a tiny surprising hover effect – fresh effects can spice up your design and bring some life to it.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2012/03/15/parallax-content-slider-with-css3-and-jquery/","Parallax Content Slider with CSS3 and jQuery","2012-03-15","A simple parallax content slider with different animations for each slider element and a background parallax effect.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2012/03/24/more-examples-of-fresh-effects-in-web-design/","More Examples of Fresh Effects in Web Design","2012-03-24","Another set of websites that use some unconventional and fresh effects.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2012/04/30/fluid-css3-slideshow-with-parallax-effect/","Fluid CSS3 Slideshow with Parallax Effect","2012-04-30","In this tutorial we will create a slideshow with a parallax effect using several CSS3 properties. The idea is to move the background positions of two backgrounds while sliding the container of the slides.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2012/07/27/examples-of-creative-and-modern-effects-in-web-design/","Examples of Creative and Modern Effects in Web Design","2012-07-27","From hover to scroll, there are many ways to surprise and engage website visitors. The possibilities are endless. Get inspired with these examples of creative and modern effects in web design.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2012/10/18/creating-off-center-balance-using-asymmetry-in-web-design/","Creating Off-Center Balance: Using Asymmetry in Web Design","2012-10-18","Asymmetrical design techniques can be visually intriguing and create distinct focal points. Here are a couple of inspirational examples and tips on how to employ asymmetry in your next design.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2012/10/29/elastislide-revised/","Elastislide Revised","2012-10-29","Elastislide, the responsive image carousel, has been updated and improved. It can be used vertically or horizontally and a minimun number of visible images can be specified.","캐러셀","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2013/03/21/a-great-ui-is-invisible/","A Great UI is Invisible","2013-03-21","A user interface that is invisible and that provides seamless interaction possibilities will help the user focus on their goals and direct them to what they need.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2014/05/22/inspiration-for-article-intro-effects/","Inspiration for Article Intro Effects","2014-05-22","Some inspiration for effects applied to title headers of articles with a fullscreen image. The idea is to show some creative transition when continuing to the article body.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2014/06/26/draggable-dual-view-slideshow/","Draggable Dual-View Slideshow","2014-06-26","An experimental slideshow that is draggable and has two views: fullscreen and small carousel. In fullscreen view, a related content area can be viewed.","캐러셀","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2014/12/23/sliding-header-layout/","Sliding Header Layout","2014-12-23","A tutorial on how to create a simple layout with a fullscreen header that slides up to reveal a content area with an image grid.","마스크·레이어 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2015/07/10/freebie-cardio-one-page-website-template/","Freebie: “Cardio” One Page Website Template","2015-07-10","A clean and modern one page website template built with Bootstrap. The responsive HTML template has a gym related theme but can be easily fitted to any kind of content.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2015/10/17/freebie-land-io-ui-kit-landing-page-template-html/","Freebie: &#8220;Land.io&#8221; UI Kit + Landing Page Template (HTML)","2015-10-17","Land.io is a carefully crafted landing page UI kit and landing page template built on Bootstrap 4, designed by Peter Finlan and developed by Taty Grassini.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2016/05/03/animated-heat-distortion-effects-webgl/","Animated Heat Distortion Effects with WebGL","2016-05-03","A tutorial on how to use fragment shaders in WebGL to create an animated heat haze distortion effect on images and text.","공간 깊이","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2016/09/21/background-segment-effect-with-css-clip/","Background Segment Effect","2016-09-21","A background image segment effect as seen on Filippo Bello’s Portfolio, employing the CSS clip-path property and powered by anime.js.","마스크·레이어 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2017/01/19/little-fragments-creating-a-simple-image-poster-effect/","Little Fragments: Creating a Simple Image Poster Effect","2017-01-19","A tutorial on how to create a simple image effect with little image fragments inspired by some poster art and powered by clip-path.","마스크·레이어","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2017/05/23/on-scroll-morphing-background-shapes/","On-Scroll Morphing Background Shapes","2017-05-23","A decorative website background effect where SVG shapes are morphing and transforming on scroll.","모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2018/10/31/animated-grids-layout/","Animated Grid Previews","2018-10-31","A template where one can switch between little image previews that are scattered around the page. The images animate to a grid once an &#8220;explore&#8221; link is clicked.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2019/01/24/layer-motion-slideshow/","Layer Motion Slideshow","2019-01-24","A CSS Grid-based slideshow template with a layer motion effect on the main image and title.","마스크·레이어 / 캐러셀 / 모션","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2019/01/31/custom-cursor-effects/","Custom Cursor Effects","2019-01-31","A collection of five demos and a tutorial on how to create animated custom cursor effects for interactive elements like navigations, galleries and carousels.","캐러셀","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2019/03/05/inspirational-websites-roundup-2/","Inspirational Websites Roundup #2","2019-03-05","The second compilation of inspiring website designs with some unique picks to get your creative juices flowing.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2019/08/15/awesome-demos-roundup-7/","Awesome Demos Roundup #7","2019-08-15","The seventh edition of our monthly demos roundup that will get your creative coding juices flowing.","상호작용 참고","보조 참고: 구조·간격만 검토하고 시각 스타일은 직접 전용하지 않음"
"Codrops","https://tympanus.net/codrops/2019/08/20/react-slider-with-parallax-hover-effects/","React Slider with Parallax Hover Effects","2019-08-20","Walk through the build of a React slider and learn how to implement a parallax hover effect.","캐러셀 / 모션","부분 채택: 3상태 순환·전환 타이밍 참고, 과도한 장식 모션은 배제"
"Codrops","https://tympanus.net/codrops/2019/10/16/case-study-chang-liu-portfolio-v4/","Case Study: Chang Liu Portfolio V4","2019-10-16","Get insight on how to add 3D to a website using Three.js and make a wavy distortion effect in this case study of Chang Liu’s new portfolio.","공간 깊이 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2019/12/16/scroll-refraction-and-shader-effects-in-three-js-and-react/","Scroll, Refraction and Shader Effects in Three.js and React","2019-12-16","Discover how to use react-three-fiber and combine some common techniques to create a Three.js powered layout with shader effects.","공간 깊이 / 모션 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
"Codrops","https://tympanus.net/codrops/2020/02/05/crafting-a-cutout-collage-layout-with-css-grid-and-clip-path/","Crafting a Cutout Collage Layout with CSS Grid and Clip-path","2020-02-05","Learn how to code up an interesting design with a cutout image look using CSS Grid and clip-path.","마스크·레이어 / 건축·에디토리얼","채택: 단일 소실점, 후면-콘텐츠-전면 마스크 순서 검증에 사용"
